fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;country;province;region_1;region_2;variety;winery
7.8;0.6;0.14;2.4;0.086;3;15;0.9975;3.42;0.6;10.8;6;Chile;Colchagua Valley;;;Viognier-Chardonnay;Estampa
8.1;0.38;0.28;2.1;0.066;13;30;0.9968;3.23;0.73;9.7;7;Italy;Sicily & Sardinia;Sicilia;;Cabernet Sauvignon;Feudi del Pisciotto
5.7;1.13;0.09;1.5;0.172;7;19;0.994;3.5;0.48;9.8;4;Italy;Southern Italy;Puglia;;Primitivo;Feudi di San Marzano
7.3;0.45;0.36;5.9;0.074;12;87;0.9978;3.33;0.83;10.5;5;Italy;Sicily & Sardinia;Sicilia;;Nero d'Avola;Feudo di Santa Tresa
7.3;0.45;0.36;5.9;0.074;12;87;0.9978;3.33;0.83;10.5;5;Italy;Sicily & Sardinia;Sicilia;;Catarratto;Feudo Montoni
8.8;0.61;0.3;2.8;0.088;17;46;0.9976;3.26;0.51;9.3;4;US;Oregon;Willamette Valley;Willamette Valley;Pinot Noir;Hawkins Cellars
7.5;0.49;0.2;2.6;0.332;8;14;0.9968;3.21;0.9;10.5;6;France;Beaujolais;Beaujolais;;Gamay;Henry Fessy
8.1;0.66;0.22;2.2;0.069;9;23;0.9968;3.3;1.2;10.3;5;US;California;Paso Robles;Central Coast;Sauvignon Blanc;Robert Hall
6.8;0.67;0.02;1.8;0.05;5;11;0.9962;3.48;0.52;9.5;5;Chile;Maule Valley;;;Merlot;Sundance
4.6;0.52;0.15;2.1;0.054;8;65;0.9934;3.9;0.56;13.1;4;US;Virginia;Virginia;;Red Blend;Tarara
7.7;0.935;0.43;2.2;0.114;22;114;0.997;3.25;0.73;9.2;5;Italy;Sicily & Sardinia;Sicilia;;Inzolia;Tasca d'Almerita
8.7;0.29;0.52;1.6;0.113;12;37;0.9969;3.25;0.58;9.5;5;US;California;Lake County;;Riesling;The White Knight
6.4;0.4;0.23;1.6;0.066;5;12;0.9958;3.34;0.56;9.2;5;US;Virginia;Monticello;;Sauvignon Blanc;Trump
5.6;0.31;0.37;1.4;0.074;12;96;0.9954;3.32;0.58;9.2;5;France;Beaujolais;Brouilly;;Gamay;Vignerons de Bel Air
8.8;0.66;0.26;1.7;0.074;4;23;0.9971;3.15;0.74;9.2;5;Italy;Sicily & Sardinia;Sicilia;;Red Blend;Viticultori Associati Canicatti
6.6;0.52;0.04;2.2;0.069;8;15;0.9956;3.4;0.63;9.4;6;Chile;Colchagua Valley;;;Petit Verdot;Casa Silva
6.6;0.5;0.04;2.1;0.068;6;14;0.9955;3.39;0.64;9.4;6;Italy;Sicily & Sardinia;Monica di Sardegna;;Monica;Cantine di Dolianova
8.6;0.38;0.36;3;0.081;30;119;0.997;3.2;0.56;9.4;5;France;Bordeaux;Bordeaux Blanc;;Bordeaux-style White Blend;Château de Sours
7.6;0.51;0.15;2.8;0.11;33;73;0.9955;3.17;0.63;10.2;6;Italy;Sicily & Sardinia;Sicilia;;Red Blend;Corvo
7.7;0.62;0.04;3.8;0.084;25;45;0.9978;3.34;0.53;9.5;5;US;California;Napa Valley;Napa;Chardonnay;RustRidge
10.2;0.42;0.57;3.4;0.07;4;10;0.9971;3.04;0.63;9.6;5;US;California;North Coast;North Coast;Chardonnay;Souverain
7.5;0.63;0.12;5.1;0.111;50;110;0.9983;3.26;0.77;9.4;5;Italy;Sicily & Sardinia;Sicilia;;Grillo;Tasca d'Almerita
7.8;0.59;0.18;2.3;0.076;17;54;0.9975;3.43;0.59;10;5;Chile;Maipo Valley;;;Pinot Noir;Tres Palacios
7.3;0.39;0.31;2.4;0.074;9;46;0.9962;3.41;0.54;9.4;6;US;Washington;Columbia Valley (WA);Columbia Valley;Malbec;Mellisoni
8.8;0.4;0.4;2.2;0.079;19;52;0.998;3.44;0.64;9.2;5;US;California;Napa Valley;Napa;Cabernet Sauvignon;Okapi
7.7;0.69;0.49;1.8;0.115;20;112;0.9968;3.21;0.71;9.3;5;Italy;Central Italy;Romagna;;Sangiovese;Podere dal Nespoli
7.5;0.52;0.16;1.9;0.085;12;35;0.9968;3.38;0.62;9.5;7;US;Washington;Columbia Valley (WA);Columbia Valley;Cabernet Franc;Ram
7;0.735;0.05;2;0.081;13;54;0.9966;3.39;0.57;9.8;5;France;Champagne;Champagne;;Champagne Blend;Roland Champion
7.2;0.725;0.05;4.65;0.086;4;11;0.9962;3.41;0.39;10.9;5;US;California;Santa Ynez Valley;Central Coast;Sauvignon Blanc;Sevtap
7.2;0.725;0.05;4.65;0.086;4;11;0.9962;3.41;0.39;10.9;5;France;Burgundy;Chablis;;Chardonnay;Simonnet-Febvre
7.5;0.52;0.11;1.5;0.079;11;39;0.9968;3.42;0.58;9.6;5;France;Burgundy;Mâcon-Milly Lamartine;;Chardonnay;Vignerons des Terres Secrètes
6.6;0.705;0.07;1.6;0.076;6;15;0.9962;3.44;0.58;10.7;5;US;Washington;Columbia Valley (WA);Columbia Valley;Bordeaux-style Red Blend;Basel Cellars
9.3;0.32;0.57;2;0.074;27;65;0.9969;3.28;0.79;10.7;5;US;California;California;California Other;Red Blend;Cocobon
8;0.705;0.05;1.9;0.074;8;19;0.9962;3.34;0.95;10.5;6;France;Champagne;Champagne;;Champagne Blend;Collet
7.7;0.63;0.08;1.9;0.076;15;27;0.9967;3.32;0.54;9.5;6;US;Washington;Columbia Valley (WA);Columbia Valley;Chardonnay;Drumheller
7.7;0.67;0.23;2.1;0.088;17;96;0.9962;3.32;0.48;9.5;5;US;California;Alexander Valley;Sonoma;Cabernet Sauvignon;Eco Terreno
7.7;0.69;0.22;1.9;0.084;18;94;0.9961;3.31;0.48;9.5;5;Italy;Southern Italy;Aglianico del Vulture;;Aglianico;Grifalco
8.3;0.675;0.26;2.1;0.084;11;43;0.9976;3.31;0.53;9.2;4;US;California;Howell Mountain;Napa;Cabernet Sauvignon;Hindsight
9.7;0.32;0.54;2.5;0.094;28;83;0.9984;3.28;0.82;9.6;5;US;California;Calistoga;Napa;Petite Sirah;Hindsight
8.8;0.41;0.64;2.2;0.093;9;42;0.9986;3.54;0.66;10.5;5;US;California;Napa Valley;Napa;Bordeaux-style Red Blend;Mulvane Wine Co.
8.8;0.41;0.64;2.2;0.093;9;42;0.9986;3.54;0.66;10.5;5;Germany;Rheinhessen;;;Riesling;Schmitt Söhne
6.8;0.785;0;2.4;0.104;14;30;0.9966;3.52;0.55;10.7;6;Australia;South Australia;South Australia;;Chardonnay;Yalumba
6.7;0.75;0.12;2;0.086;12;80;0.9958;3.38;0.52;10.1;5;US;Oregon;Eola-Amity Hills;Willamette Valley;Pinot Noir;Z'IVO
8.3;0.625;0.2;1.5;0.08;27;119;0.9972;3.16;1.12;9.1;4;Portugal;Tejo;;;Touriga Nacional;Adega Cooperativa do Cartaxo
6.2;0.45;0.2;1.6;0.069;3;15;0.9958;3.41;0.56;9.2;5;Chile;Rapel Valley;;;Carmenère;Aresti
7.8;0.43;0.7;1.9;0.464;22;67;0.9974;3.13;1.28;9.4;5;Spain;Galicia;Rías Baixas;;Albariño;Spyro
7.4;0.5;0.47;2;0.086;21;73;0.997;3.36;0.57;9.1;5;France;France Other;Vin de France;;Petit Manseng;Lionel Osmin & Cie
7.3;0.67;0.26;1.8;0.401;16;51;0.9969;3.16;1.14;9.4;5;Australia;South Australia;McLaren Vale;;Rosé;Mitolo
6.3;0.3;0.48;1.8;0.069;18;61;0.9959;3.44;0.78;10.3;6;US;California;Napa Valley;Napa;Zinfandel;Napa Cellars
6.9;0.55;0.15;2.2;0.076;19;40;0.9961;3.41;0.59;10.1;5;Germany;Rheinhessen;;;Riesling;P.J. Valckenberg
8.6;0.49;0.28;1.9;0.11;20;136;0.9972;2.93;1.95;9.9;6;US;Washington;Ancient Lakes;Columbia Valley;Albariño;Palencia
7.7;0.49;0.26;1.9;0.062;9;31;0.9966;3.39;0.64;9.6;5;US;California;Knights Valley;Sonoma;Merlot;Passaggio
9.3;0.39;0.44;2.1;0.107;34;125;0.9978;3.14;1.22;9.5;5;Italy;Tuscany;Vernaccia di San Gimignano;;Vernaccia;Poggio Alloro
7;0.62;0.08;1.8;0.076;8;24;0.9978;3.48;0.53;9;5;Italy;Tuscany;Toscana;;Rosato;Fattoria Sardi
7.9;0.52;0.26;1.9;0.079;42;140;0.9964;3.23;0.54;9.5;5;US;California;Sonoma County;Sonoma;Red Blend;Ferrari-Carano
8.6;0.49;0.28;1.9;0.11;20;136;0.9972;2.93;1.95;9.9;6;US;California;Sonoma Coast;Sonoma;Pinot Gris;Folie à Deux
8.6;0.49;0.29;2;0.11;19;133;0.9972;2.93;1.98;9.8;5;US;California;Napa Valley;Napa;Meritage;Franciscan
7.7;0.49;0.26;1.9;0.062;9;31;0.9966;3.39;0.64;9.6;5;Austria;Burgenland;;;Grüner Veltliner;Fuchs
5;1.02;0.04;1.4;0.045;41;85;0.9938;3.75;0.48;10.5;4;US;Washington;Columbia Valley (WA);Columbia Valley;Viognier;Gård
4.7;0.6;0.17;2.3;0.058;17;106;0.9932;3.85;0.6;12.9;6;France;Beaujolais;Juliénas;;Gamay;Henry Fessy
6.8;0.775;0;3;0.102;8;23;0.9965;3.45;0.56;10.7;5;France;Beaujolais;Régnié;;Gamay;Henry Fessy
7;0.5;0.25;2;0.07;3;22;0.9963;3.25;0.63;9.2;5;US;New York;Finger Lakes;Finger Lakes;Riesling;Heron Hill
7.6;0.9;0.06;2.5;0.079;5;10;0.9967;3.39;0.56;9.8;5;Italy;Tuscany;Morellino di Scansano;;Sangiovese;Serpaia di Endrizzi
8.1;0.545;0.18;1.9;0.08;13;35;0.9972;3.3;0.59;9;6;US;California;Napa Valley;Napa;Bordeaux-style Red Blend;Soquel Vineyards
8.3;0.61;0.3;2.1;0.084;11;50;0.9972;3.4;0.61;10.2;6;US;New York;Finger Lakes;Finger Lakes;Pinot Gris;Ventosa
7.8;0.5;0.3;1.9;0.075;8;22;0.9959;3.31;0.56;10.4;6;US;New York;Finger Lakes;Finger Lakes;Riesling;Lamoreaux Landing
8.1;0.545;0.18;1.9;0.08;13;35;0.9972;3.3;0.59;9;6;US;New York;Finger Lakes;Finger Lakes;Riesling;Lamoreaux Landing
8.1;0.575;0.22;2.1;0.077;12;65;0.9967;3.29;0.51;9.2;5;Chile;Leyda Valley;;;Chardonnay;Leyda
7.2;0.49;0.24;2.2;0.07;5;36;0.996;3.33;0.48;9.4;5;Italy;Tuscany;Toscana;;Red Blend;Madonna Alta
8.1;0.575;0.22;2.1;0.077;12;65;0.9967;3.29;0.51;9.2;5;Italy;Tuscany;Toscana;;White Blend;Marchesi Antinori
7.8;0.41;0.68;1.7;0.467;18;69;0.9973;3.08;1.31;9.3;5;Italy;Tuscany;Toscana;;Red Blend;Marchesi de' Frescobaldi
6.2;0.63;0.31;1.7;0.088;15;64;0.9969;3.46;0.79;9.3;5;Italy;Tuscany;Toscana;;Vermentino;Marchesi de' Frescobaldi
8;0.33;0.53;2.5;0.091;18;80;0.9976;3.37;0.8;9.6;6;US;California;Santa Clara Valley;Central Coast;Zinfandel;Martin Ranch
8.1;0.785;0.52;2;0.122;37;153;0.9969;3.21;0.69;9.3;5;Italy;Tuscany;Toscana;;Red Blend;Ornellaia
7.8;0.56;0.19;1.8;0.104;12;47;0.9964;3.19;0.93;9.5;5;France;Beaujolais;Brouilly;;Gamay;Pardon et Fils
8.4;0.62;0.09;2.2;0.084;11;108;0.9964;3.15;0.66;9.8;5;US;California;Yountville;Napa;Cabernet Sauvignon;Piña
8.4;0.6;0.1;2.2;0.085;14;111;0.9964;3.15;0.66;9.8;5;Italy;Tuscany;Toscana;;Red Blend;Podere Ciona
10.1;0.31;0.44;2.3;0.08;22;46;0.9988;3.32;0.67;9.7;6;Italy;Tuscany;Toscana;;White Blend;Poggioventoso
7.8;0.56;0.19;1.8;0.104;12;47;0.9964;3.19;0.93;9.5;5;US;California;Paso Robles;Central Coast;Bordeaux-style Red Blend;Pull
9.4;0.4;0.31;2.2;0.09;13;62;0.9966;3.07;0.63;10.5;6;US;California;Paso Robles;Central Coast;Chardonnay;Pull
8.3;0.54;0.28;1.9;0.077;11;40;0.9978;3.39;0.61;10;6;US;California;Santa Ynez Valley;Central Coast;Grenache Blanc;R2
7.8;0.56;0.12;2;0.082;7;28;0.997;3.37;0.5;9.4;6;US;California;Central Coast;;Syrah;Rideau
8.8;0.55;0.04;2.2;0.119;14;56;0.9962;3.21;0.6;10.9;6;Italy;Tuscany;Toscana;;Red Blend;Tenuta Forconi
7;0.69;0.08;1.8;0.097;22;89;0.9959;3.34;0.54;9.2;6;France;Alsace;Alsace;;Riesling;Dopff & Irion
7.3;1.07;0.09;1.7;0.178;10;89;0.9962;3.3;0.57;9;5;Italy;Piedmont;Barolo;;Nebbiolo;Ceretto
8.8;0.55;0.04;2.2;0.119;14;56;0.9962;3.21;0.6;10.9;6;US;California;Alexander Valley;Sonoma;Chardonnay;Matrix
7.3;0.695;0;2.5;0.075;3;13;0.998;3.49;0.52;9.2;5;US;California;Rockpile;Sonoma;Zinfandel;Mauritson
8;0.71;0;2.6;0.08;11;34;0.9976;3.44;0.53;9.5;5;Australia;South Australia;Padthaway;;Shiraz-Cabernet Sauvignon;Henry's Drive Vignerons
7.8;0.5;0.17;1.6;0.082;21;102;0.996;3.39;0.48;9.5;5;US;California;Napa Valley;Napa;Cabernet Sauvignon;Silverado
9;0.62;0.04;1.9;0.146;27;90;0.9984;3.16;0.7;9.4;5;South Africa;Stellenbosch;;;Cabernet Sauvignon;Le Riche
8.2;1.33;0;1.7;0.081;3;12;0.9964;3.53;0.49;10.9;5;France;Alsace;Alsace;;Gewürztraminer;Pierre Sparr
8.1;1.33;0;1.8;0.082;3;12;0.9964;3.54;0.48;10.9;5;France;Alsace;Alsace;;White Blend;Pierre Sparr
8;0.59;0.16;1.8;0.065;3;16;0.9962;3.42;0.92;10.5;7;France;Alsace;Alsace;;Pinot Blanc;Kuentz-Bas
6.1;0.38;0.15;1.8;0.072;6;19;0.9955;3.42;0.57;9.4;5;South Africa;Stellenbosch;;;Bordeaux-style Red Blend;Camberley
8;0.745;0.56;2;0.118;30;134;0.9968;3.24;0.66;9.4;5;Italy;Piedmont;Barolo;;Nebbiolo;Ceretto
5.6;0.5;0.09;2.3;0.049;17;99;0.9937;3.63;0.63;13;5;France;Alsace;Alsace;;Alsace white blend;Dopff & Irion
5.6;0.5;0.09;2.3;0.049;17;99;0.9937;3.63;0.63;13;5;South Africa;Simonsberg-Stellenbosch;;;Cabernet Sauvignon;Delheim
6.6;0.5;0.01;1.5;0.06;17;26;0.9952;3.4;0.58;9.8;6;Italy;Piedmont;Barolo;;Nebbiolo;Poderi Luigi Einaudi
7.9;1.04;0.05;2.2;0.084;13;29;0.9959;3.22;0.55;9.9;6;US;California;Napa Valley;Napa;Cabernet Sauvignon;Clark-Clauden
8.4;0.745;0.11;1.9;0.09;16;63;0.9965;3.19;0.82;9.6;5;Italy;Piedmont;Barolo;;Nebbiolo;Giacomo Ascheri
8.3;0.715;0.15;1.8;0.089;10;52;0.9968;3.23;0.77;9.5;5;France;Bordeaux;Saint-Émilion;;Bordeaux-style Red Blend;Lassègue
7.2;0.415;0.36;2;0.081;13;45;0.9972;3.48;0.64;9.2;5;South Africa;Walker Bay;;;Chenin Blanc;Beaumont
7.8;0.56;0.19;2.1;0.081;15;105;0.9962;3.33;0.54;9.5;5;France;Alsace;Alsace;;Alsace white blend;Dopff & Irion
7.8;0.56;0.19;2;0.081;17;108;0.9962;3.32;0.54;9.5;5;France;Alsace;Alsace;;Pinot Gris;Kuentz-Bas
8.4;0.745;0.11;1.9;0.09;16;63;0.9965;3.19;0.82;9.6;5;Italy;Piedmont;Barbera d'Alba;;Barbera;Poderi Colla
8.3;0.715;0.15;1.8;0.089;10;52;0.9968;3.23;0.77;9.5;5;Italy;Piedmont;Barolo;;Nebbiolo;Giacomo Ascheri
5.2;0.34;0;1.8;0.05;27;63;0.9916;3.68;0.79;14;6;US;California;Santa Lucia Highlands;Central Coast;Riesling;Banyan
6.3;0.39;0.08;1.7;0.066;3;20;0.9954;3.34;0.58;9.4;5;France;Alsace;Alsace;;Pinot Gris;Domaine Zind-Humbrecht
5.2;0.34;0;1.8;0.05;27;63;0.9916;3.68;0.79;14;6;US;California;Spring Mountain District;Napa;Cabernet Sauvignon;Terra Valentine
8.1;0.67;0.55;1.8;0.117;32;141;0.9968;3.17;0.62;9.4;5;US;California;Santa Lucia Highlands;Central Coast;Pinot Noir;Testarossa
5.8;0.68;0.02;1.8;0.087;21;94;0.9944;3.54;0.52;10;5;US;California;Santa Ynez Valley;Central Coast;Cabernet Sauvignon;Vincent Vineyards
7.6;0.49;0.26;1.6;0.236;10;88;0.9968;3.11;0.8;9.3;5;US;California;Santa Ynez Valley;Central Coast;Cabernet Sauvignon;Vincent Vineyards
6.9;0.49;0.1;2.3;0.074;12;30;0.9959;3.42;0.58;10.2;6;Germany;Rheinhessen;;;Riesling;Weingut Liebfrauenstift
8.2;0.4;0.44;2.8;0.089;11;43;0.9975;3.53;0.61;10.5;6;US;California;Monterey;Central Coast;Rhône-style Red Blend;Wrath
7.3;0.33;0.47;2.1;0.077;5;11;0.9958;3.33;0.53;10.3;6;US;California;Napa Valley;Napa;Cabernet Sauvignon;Yardstick
9.2;0.52;1;3.4;0.61;32;69;0.9996;2.74;2.0;9.4;4;Portugal;Alentejano;;;Portuguese White;Herdade Grande
7.5;0.6;0.03;1.8;0.095;25;99;0.995;3.35;0.54;10.1;5;US;California;Carmel Valley;Central Coast;Pinot Noir;Albatross Ridge
7.5;0.6;0.03;1.8;0.095;25;99;0.995;3.35;0.54;10.1;5;US;California;Paso Robles;Central Coast;Syrah;Alta Colina
7.1;0.43;0.42;5.5;0.07;29;129;0.9973;3.42;0.72;10.5;5;Spain;Central Spain;Dominio de Valdepusa;;Graciano;Marques de Griñon
7.1;0.43;0.42;5.5;0.071;28;128;0.9973;3.42;0.71;10.5;5;US;California;Santa Cruz Mountains;Central Coast;Syrah;Big Basin
7.1;0.43;0.42;5.5;0.07;29;129;0.9973;3.42;0.72;10.5;5;Germany;Mosel;;;Riesling;Carl Graff
7.1;0.43;0.42;5.5;0.071;28;128;0.9973;3.42;0.71;10.5;5;Portugal;Alentejano;;;Portuguese Red;Casa Santa Vitória
7.1;0.68;0;2.2;0.073;12;22;0.9969;3.48;0.5;9.3;5;Italy;Tuscany;Chianti Classico;;Sangiovese;Castello di Gabbiano
6.8;0.6;0.18;1.9;0.079;18;86;0.9968;3.59;0.57;9.3;6;Italy;Tuscany;Brunello di Montalcino;;Sangiovese;Castello Romitorio
7.6;0.95;0.03;2;0.09;7;20;0.9959;3.2;0.56;9.6;5;France;Southwest France;Cahors;;Malbec;Château Vincens
7.6;0.68;0.02;1.3;0.072;9;20;0.9965;3.17;1.08;9.2;4;US;California;Paso Robles;Central Coast;Red Blend;Chronic Cellars
7.8;0.53;0.04;1.7;0.076;17;31;0.9964;3.33;0.56;10;6;US;California;Edna Valley;Central Coast;Riesling;Claiborne & Churchill
7.4;0.6;0.26;7.3;0.07;36;121;0.9982;3.37;0.49;9.4;5;France;Beaujolais;Moulin-à-Vent;;Gamay;Collin-Bourisset
7.3;0.59;0.26;7.2;0.07;35;121;0.9981;3.37;0.49;9.4;5;Chile;Aconcagua Valley;;;Red Blend;Conde de Velázquez
7.8;0.63;0.48;1.7;0.1;14;96;0.9961;3.19;0.62;9.5;5;Chile;Maipo Valley;;;Cabernet Sauvignon;Cono Sur
6.8;0.64;0.1;2.1;0.085;18;101;0.9956;3.34;0.52;10.2;5;France;Southwest France;Madiran;;Tannat-Cabernet;Domaine Berthoumieu
7.3;0.55;0.03;1.6;0.072;17;42;0.9956;3.37;0.48;9;4;US;California;Paso Robles;Central Coast;Cabernet Franc;Dracaena
6.8;0.63;0.07;2.1;0.089;11;44;0.9953;3.47;0.55;10.4;6;US;California;Napa Valley;Napa;Merlot;Duckhorn
7.5;0.705;0.24;1.8;0.36;15;63;0.9964;3;1.59;9.5;5;US;California;Russian River Valley;Sonoma;Pinot Noir;Dutton-Goldfield
7.9;0.885;0.03;1.8;0.058;4;8;0.9972;3.36;0.33;9.1;4;Germany;Mosel;;;Riesling;Fritz Haag
8;0.42;0.17;2;0.073;6;18;0.9972;3.29;0.61;9.2;6;Germany;Mosel;;;Riesling;Fritz Haag
8;0.42;0.17;2;0.073;6;18;0.9972;3.29;0.61;9.2;6;Chile;Loncomilla Valley;;;Cabernet Sauvignon;G7
7.4;0.62;0.05;1.9;0.068;24;42;0.9961;3.42;0.57;11.5;6;US;Oregon;Willamette Valley;Willamette Valley;Pinot Noir;Le Cadeau
7.3;0.38;0.21;2;0.08;7;35;0.9961;3.33;0.47;9.5;5;New Zealand;Marlborough;;;Sauvignon Blanc;Stoneleigh
6.9;0.5;0.04;1.5;0.085;19;49;0.9958;3.35;0.78;9.5;5;Italy;Northeastern Italy;Alto Adige;;Sauvignon;Tenuta Peter Sölva & Söhne
7.3;0.38;0.21;2;0.08;7;35;0.9961;3.33;0.47;9.5;5;Chile;Maipo Valley;;;Red Blend;TerraMater
7.5;0.52;0.42;2.3;0.087;8;38;0.9972;3.58;0.61;10.5;6;Italy;Tuscany;Chianti Classico;;Sangiovese;Isole e Olena
7;0.805;0;2.5;0.068;7;20;0.9969;3.48;0.56;9.6;5;US;California;Sonoma Valley;Sonoma;Syrah;Kenwood
8.8;0.61;0.14;2.4;0.067;10;42;0.9969;3.19;0.59;9.5;5;France;Burgundy;Chablis;;Chardonnay;La Chablisienne
8.8;0.61;0.14;2.4;0.067;10;42;0.9969;3.19;0.59;9.5;5;US;California;Santa Lucia Highlands;Central Coast;Chardonnay;Manzoni
8.9;0.61;0.49;2;0.27;23;110;0.9972;3.12;1.02;9.3;5;US;California;Arroyo Seco;Central Coast;Pinot Noir;McIntyre Vineyards
7.2;0.73;0.02;2.5;0.076;16;42;0.9972;3.44;0.52;9.3;5;Italy;Tuscany;Brunello di Montalcino;;Sangiovese Grosso;Abbadia Ardenga
